"","species","total_length","OOL","head_height","HC_fin","higher_group","swimbladder"
"73","Salarias fasciatus",7.6,1.21,1.38,FALSE,"Acanthopterygii","True"
"74","Salarias fasciatus",5.7,0.906,0.981,FALSE,"Acanthopterygii","True"
"75","Salarias fasciatus",9.2,1.35,1.495,FALSE,"Acanthopterygii","True"
"76","Salarias fasciatus",9.1,1.386,1.565,FALSE,"Acanthopterygii","True"
"77","Salarias fasciatus",5,0.912,0.939,FALSE,"Acanthopterygii","True"
"78","Salarias fasciatus",5.1,0.761,0.883,FALSE,"Acanthopterygii","True"
"79","Salarias fasciatus",7.1,0.984,1.203,FALSE,"Acanthopterygii","True"
"80","Salarias fasciatus",7.7,1.239,1.348,FALSE,"Acanthopterygii","True"
"81","Salarias fasciatus",13.538,1.806,2.03,FALSE,"Acanthopterygii","True"
"82","Synchiropus sechellensis",13.12,2.27,2,FALSE,"Acanthopterygii","True"
"83","Centropomus parallelus",55.5,10.018,9.85,FALSE,"Acanthopterygii","True"
"84","Centropomus undecimalis",14.149,2.488,1.71,FALSE,"Acanthopterygii","True"
"85","Centropomus undecimalis",82.1,15.4,11.64,FALSE,"Acanthopterygii","True"
"86","Centropomus undecimalis",87,16.8,15.59,FALSE,"Acanthopterygii","True"
"87","Centropomus undecimalis",93,18,13.85,FALSE,"Acanthopterygii","True"
"88","Centropomus undecimalis",60,11.353,9.24,FALSE,"Acanthopterygii","True"
"89","Centropomus undecimalis",62,10.264,9.09,FALSE,"Acanthopterygii","True"
"90","Eleutheronema rhadinum",97.34,16.258,16,FALSE,"Acanthopterygii","True"
"91","Eleutheronema rhadinum",54.6,9.54308,7.53,FALSE,"Acanthopterygii","True"
"92","Lates calcarifer",53.3,11.456,10.736,FALSE,"Acanthopterygii","True"
"93","Lates japonicus",92.246,20.837,20.692,FALSE,"Acanthopterygii","True"
"94","Psammoperca vaigiensis",23.6,4.793,4.773,FALSE,"Acanthopterygii","True"
"95","Sphyraena acutipinnis",34.022,4.708,3.219,FALSE,"Acanthopterygii","True"
"96","Sphyraena africana",35.523,5.173,4.13,FALSE,"Acanthopterygii","True"
"97","Sphyraena arabiansis",104,14.544,8.19,FALSE,"Acanthopterygii","True"
"98","Sphyraena arabiansis",100,12.104,9.27,FALSE,"Acanthopterygii","True"
"99","Sphyraena arabiansis",93.5,13.33304,7.07252,FALSE,"Acanthopterygii","True"
"100","Sphyraena arabiansis",100.6,13.31778,6.73602,FALSE,"Acanthopterygii","True"
"101","Sphyraena arabiansis",91.6,13.096,6.8,FALSE,"Acanthopterygii","True"
"102","Sphyraena barracuda",144.5,19.1,16.5,FALSE,"Acanthopterygii","True"
"103","Sphyraena barracuda",96.5,12.2,10,FALSE,"Acanthopterygii","True"
"104","Sphyraena barracuda",48.3,6.24,5.02,FALSE,"Acanthopterygii","True"
"105","Sphyraena barracuda",52.3,6.771,5.071,FALSE,"Acanthopterygii","True"
"106","Sphyraena barracuda",110.076,14.793,12.811,FALSE,"Acanthopterygii","True"
"107","Sphyraena chrysotaenia",26.9,4.149,3.177,FALSE,"Acanthopterygii","True"
"108","Sphyraena flavicauda",39.5,5.3,3.788,FALSE,"Acanthopterygii","True"
"109","Sphyraena flavicauda",36.3,5.418,3.683,FALSE,"Acanthopterygii","True"
"110","Sphyraena flavicauda",42,5.922,4.231,FALSE,"Acanthopterygii","True"
"111","Sphyraena idiastes",48.115,6.552,4.368,FALSE,"Acanthopterygii","True"
"112","Sphyraena jello",101.643,13.687,9.212,FALSE,"Acanthopterygii","True"
"113","Sphyraena putnamae",78.515,11.045,8.583,FALSE,"Acanthopterygii","True"
"114","Sphyraena putnamae",53.898,7.154,5.561,FALSE,"Acanthopterygii","True"
"115","Sphyraena putnamae",41.9,5.731,3.876,FALSE,"Acanthopterygii","True"
"116","Sphyraena putnamae",45.6,5.716,3.986,FALSE,"Acanthopterygii","True"
"117","Sphyraena putnamae",50.8,6.45,5.05,FALSE,"Acanthopterygii","True"
"118","Sphyraena qenie",119.2,16.26,13.31,FALSE,"Acanthopterygii","True"
"119","Sphyraena qenie",21.3324,2.6448,1.92,FALSE,"Acanthopterygii","True"
"120","Sphyraena qenie",67.0259,8.808,6.669,FALSE,"Acanthopterygii","True"
"121","Sphyraena qenie",71.9,10.631,7.759,FALSE,"Acanthopterygii","True"
"122","Sphyraena qenie",92.929,11.95,9.192,FALSE,"Acanthopterygii","True"
"123","Sphyraena toxeuma",73.393,10.326,7.772,FALSE,"Acanthopterygii","True"
"124","Sphyraena viridensis",45.6,5.5,4.01,FALSE,"Acanthopterygii","True"
"125","Sphyraena viridensis",53.2,7.4,5.294,FALSE,"Acanthopterygii","True"
"126","Alectis alexandrina",71,9.617,17.769,FALSE,"Acanthopterygii","True"
"127","Alectis ciliaris",93.774,13.156,22.539,FALSE,"Acanthopterygii","True"
"128","Alectis ciliaris",70.784,11.024,19.39,FALSE,"Acanthopterygii","True"
"129","Alectis ciliaris",84.7,12.16,22.14,FALSE,"Acanthopterygii","True"
"130","Alectis indicus",21.8,3.628,8.16,FALSE,"Acanthopterygii","True"
"131","Alepes melanoptera",14.212,2.648,3.26,FALSE,"Acanthopterygii","True"
"132","Atropus atropus",22.47,3.266,6.443,FALSE,"Acanthopterygii","True"
"133","Atule mate",24.4,3.788,4.471,FALSE,"Acanthopterygii","True"
"134","Atule mate",20.919,3.377,3.776,FALSE,"Acanthopterygii","True"
"135","Atule mate",24.942,4.164,4.637,FALSE,"Acanthopterygii","True"
"136","Atule mate",24.66,4.05,4.755,FALSE,"Acanthopterygii","True"
"137","Carangoides bajad",23.4,3.505,5.266,FALSE,"Acanthopterygii","True"
"138","Carangoides bajad",26.4,4.349,6.166,FALSE,"Acanthopterygii","True"
"139","Carangoides bajad",41,5.812,9.496,FALSE,"Acanthopterygii","True"
"140","Carangoides chrysophrys",27.8,5.13,7.28,FALSE,"Acanthopterygii","True"
"141","Carangoides chrysophrys",28.5,5.16,7.57,FALSE,"Acanthopterygii","True"
"142","Carangoides coeruleopinnatus",24.908,4.437,7.793,FALSE,"Acanthopterygii","True"
"143","Carangoides coeruleopinnatus",30.3,4.92,9.14,FALSE,"Acanthopterygii","True"
"144","Carangoides coeruleopinnatus",29.193,5.363,8.943,FALSE,"Acanthopterygii","True"
"145","Carangoides coeruleopinnatus",34.739,5.537,10.536,FALSE,"Acanthopterygii","True"
"146","Carangoides coeruleopinnatus",19.485,3.416,5.891,FALSE,"Acanthopterygii","True"
"147","Carangoides dinema",25.296,4.11,5.966,FALSE,"Acanthopterygii","True"
"148","Carangoides dinema",33,5.08,7.22,FALSE,"Acanthopterygii","True"
"149","Carangoides dinema",35.42,5.42,8.37,FALSE,"Acanthopterygii","True"
"150","Carangoides equula",48.4,7.503,10.787,FALSE,"Acanthopterygii","True"
"151","Carangoides equula",49.497,7.91,11.37,FALSE,"Acanthopterygii","True"
"152","Carangoides equula",23.25,4.182,6.218,FALSE,"Acanthopterygii","True"
"153","Carangoides equula",16.625,3.024,4.862,FALSE,"Acanthopterygii","True"
"154","Carangoides ferdau",25.17,4.15,5.73,FALSE,"Acanthopterygii","True"
"155","Carangoides ferdau",27.485,4.587,6.35,FALSE,"Acanthopterygii","True"
"156","Carangoides ferdau",24.9,4.13,5.8,FALSE,"Acanthopterygii","True"
"157","Carangoides fulvoguttatus",55.3,8.44,11.23,FALSE,"Acanthopterygii","True"
"158","Carangoides fulvoguttatus",36.204,6.229,8.392,FALSE,"Acanthopterygii","True"
"159","Carangoides fulvoguttatus",54.489,8.36,11.252,FALSE,"Acanthopterygii","True"
"160","Carangoides fulvoguttatus",36.8,5.95,8.28,FALSE,"Acanthopterygii","True"
"161","Carangoides fulvoguttatus",42.54,6.29,9.44,FALSE,"Acanthopterygii","True"
"162","Carangoides fulvoguttatus",54.3,8.315,12.054,FALSE,"Acanthopterygii","True"
"163","Carangoides orthogrammus",26.275,3.822,5.947,FALSE,"Acanthopterygii","True"
"164","Carangoides talamparoides",11.315,1.864,3.1589,FALSE,"Acanthopterygii","True"
"165","Caranx bartholomaei",56.5,8.569,8.07,FALSE,"Acanthopterygii","True"
"166","Caranx crysos",33.6,5.3,7.24,FALSE,"Acanthopterygii","True"
"167","Caranx heberi",40.782,6.907,9.274,FALSE,"Acanthopterygii","True"
"168","Caranx heberi",68.5,11.312,13.525,FALSE,"Acanthopterygii","True"
"169","Caranx ignobilis",30.674,5.635,8.144,FALSE,"Acanthopterygii","True"
"170","Caranx lugubris",70.3,11.203,16.68,FALSE,"Acanthopterygii","True"
"171","Caranx lugubris",49.168,8.492,13.88,FALSE,"Acanthopterygii","True"
"172","Caranx melampygus",53.9,8.445,12.923,FALSE,"Acanthopterygii","True"
"173","Caranx papuensis",49.496,7.342,10.702,FALSE,"Acanthopterygii","True"
"174","Caranx papuensis",48.8,8,10.98,FALSE,"Acanthopterygii","True"
"175","Caranx sexfasciatus",40.4,7.22,8.68,FALSE,"Acanthopterygii","True"
"176","Caranx sexfasciatus",31.8,5.89,7.34,FALSE,"Acanthopterygii","True"
"177","Caranx tille",48.3,8.93,10.23,FALSE,"Acanthopterygii","True"
"178","Coryphaena equiselis",66.974,7.484,11.599,FALSE,"Acanthopterygii","True"
"179","Coryphaena equiselis",69.5,9.743,13.273,FALSE,"Acanthopterygii","True"
"180","Coryphaena equiselis",53.119,5.733,9.755,FALSE,"Acanthopterygii","True"
"181","Coryphaena equiselis",52.832,6.02,9.652,FALSE,"Acanthopterygii","True"
"182","Coryphaena equiselis",39.959,4.789,6.882,FALSE,"Acanthopterygii","True"
"183","Coryphaena equiselis",45.243,5.311,8.72,FALSE,"Acanthopterygii","True"
"184","Coryphaena hippurus",81.5,9.55,12.02,FALSE,"Acanthopterygii","True"
"185","Coryphaena hippurus",59,6.872,7.925,FALSE,"Acanthopterygii","True"
"186","Coryphaena hippurus",152.916,16.547,29.665,FALSE,"Acanthopterygii","True"
"187","Coryphaena hippurus",91.7,12.626,18.144,FALSE,"Acanthopterygii","True"
"188","Coryphaena hippurus",76.2,8.864,13.275,FALSE,"Acanthopterygii","True"
"189","Coryphaena hippurus",93.45,9.92,17.95,FALSE,"Acanthopterygii","True"
"190","Coryphaena hippurus",70.65,7.89,11.92,FALSE,"Acanthopterygii","True"
"191","Coryphaena hippurus",70.628,7.66,11.131,FALSE,"Acanthopterygii","True"
"192","Coryphaena hippurus",63.601,8.653,10.816,FALSE,"Acanthopterygii","True"
"193","Decapterus akaadsi",25.306,3.748,4.515,FALSE,"Acanthopterygii","True"
"194","Decapterus macarellus",32.664,4.358,4.279,FALSE,"Acanthopterygii","True"
"195","Decapterus macrosoma",29.522,4.066,3.909,FALSE,"Acanthopterygii","True"
"196","Decapterus macrosoma",16.575,2.656,2.381,FALSE,"Acanthopterygii","True"
"197","Decapterus maruadsi",27.067,3.49,3.28,FALSE,"Acanthopterygii","True"
"198","Decapterus muroadsi",26.848,3.862,4.415,FALSE,"Acanthopterygii","True"
"199","Decapterus tabl",30.201,4.69,4.239,FALSE,"Acanthopterygii","True"
"200","Echeneis naucrates",85,7.966,6.44,FALSE,"Acanthopterygii","False"
"201","Elagatis bipinnulata",29.2,3.666,4.031,FALSE,"Acanthopterygii","True"
"202","Gnathanodon speciosus",44.418,6.698,10.695,FALSE,"Acanthopterygii","True"
"203","Lichia amia",36.76,5.33,7.03,FALSE,"Acanthopterygii","True"
"204","Megalaspis cordyla",49,7.278,7.75,FALSE,"Acanthopterygii","True"
"205","Megalaspis cordyla",53.2,7.011,7.595,FALSE,"Acanthopterygii","True"
"206","Megalaspis cordyla",27.265,4.576,5.183,FALSE,"Acanthopterygii","True"
"207","Naucrates ductor",30,4.742,5.218,FALSE,"Acanthopterygii","True"
"208","Naucrates ductor",26.287,4.342,4.54,FALSE,"Acanthopterygii","True"
"209","Naucrates ductor",33.865,5.174,5.661,FALSE,"Acanthopterygii","True"
"210","Parastromateus niger",13.135,2.308,4.089,FALSE,"Acanthopterygii","True"
"211","Parastromateus niger",17.06,3.05,4.79,FALSE,"Acanthopterygii","True"
"212","Pseudocaranx dentex",46.5,7.67,11.26,FALSE,"Acanthopterygii","True"
"213","Pseudocaranx dentex",49.5,7.961,10.805,FALSE,"Acanthopterygii","True"
"214","Rachycentron canadum",31.9,4.536,3.348,FALSE,"Acanthopterygii","True"
"215","Rachycentron canadum",61.5,7.85,6.568,FALSE,"Acanthopterygii","True"
"216","Rachycentron canadum",146,22.008512673362,17.6018561484919,FALSE,"Acanthopterygii","True"
"217","Remora brachyptera",25.1218,2.9678,3.14,FALSE,"Acanthopterygii","False"
"218","Remora brachyptera",21.47984,2.41468,2.22,FALSE,"Acanthopterygii","False"
"219","Remora osteochir",28.85925,2.68065,2.33,FALSE,"Acanthopterygii","False"
"220","Scomberoides commersonnianus",74.809715,8.840955,11.99,FALSE,"Acanthopterygii","True"
"221","Scomberoides commersonnianus",47.46,6.027,7.755,FALSE,"Acanthopterygii","True"
"222","Scomberoides commersonnianus",75.2,10.355,11.284,FALSE,"Acanthopterygii","True"
"223","Scomberoides commersonnianus",13.3,2.042,2.511,FALSE,"Acanthopterygii","True"
"224","Scomberoides commersonnianus",35.8,5.123,6.019,FALSE,"Acanthopterygii","True"
"225","Scomberoides commersonnianus",52.6,7.575,8.982,FALSE,"Acanthopterygii","True"
"226","Scomberoides lysan",41.92,4.567,5.048,FALSE,"Acanthopterygii","True"
"227","Scomberoides lysan",55.165,6.7,7.311,FALSE,"Acanthopterygii","True"
"228","Scomberoides tala",57,6.06,8.23,FALSE,"Acanthopterygii","True"
"229","Scomberoides tala",54,5.93,8.66,FALSE,"Acanthopterygii","True"
"230","Scomberoides tol",32.3,3.74,3.81,FALSE,"Acanthopterygii","True"
"231","Scomberoides tol",18.58,2.364,2.899,FALSE,"Acanthopterygii","True"
"232","Selar crumenophthalmus",22.603,3.518,4.199,FALSE,"Acanthopterygii","True"
"233","Selar crumenophthalmus",21.442,3.92,4.331,FALSE,"Acanthopterygii","True"
"234","Selar crumenophthalmus",17.9,3.251,3.402,FALSE,"Acanthopterygii","True"
"235","Selar crumenophthalmus",19.7,3.646,3.992,FALSE,"Acanthopterygii","True"
"236","Selene vomer",32.03,4.74,15.8,FALSE,"Acanthopterygii","True"
"237","Seriola aureovittata",41.94,6.342,7.289,FALSE,"Acanthopterygii","True"
"238","Seriola carpenteri",32.2,4.768,6.564,FALSE,"Acanthopterygii","True"
"239","Seriola dumerili",31.485,5.131,6.07,FALSE,"Acanthopterygii","True"
"240","Seriola dumerili",32.405,5.314,6.449,FALSE,"Acanthopterygii","True"
"241","Seriola dumerili",41.7,6.583,8.208,FALSE,"Acanthopterygii","True"
"242","Seriola lalandi",94.959,12.817,15.496,FALSE,"Acanthopterygii","True"
"243","Seriola lalandi",85.3,12.067,13.062,FALSE,"Acanthopterygii","True"
"244","Seriola lalandi",70.39,10.175,11.447,FALSE,"Acanthopterygii","True"
"245","Seriola quinqueradiata",37.064,5.912,7.063,FALSE,"Acanthopterygii","True"
"246","Seriola rivoliana",34.34,4.87,6.948,FALSE,"Acanthopterygii","True"
"247","Seriola rivoliana",47.2,7.128,9.137,FALSE,"Acanthopterygii","True"
"248","Seriola rivoliana",66,9.799,12.526,FALSE,"Acanthopterygii","True"
"249","Seriola rivoliana",74.2,11.248,14.082,FALSE,"Acanthopterygii","True"
"250","Seriola rivoliana",89,11.9,17.3,FALSE,"Acanthopterygii","True"
"251","Seriolina nigrofasciata",28.78,4.362,6.034,FALSE,"Acanthopterygii","True"
"252","Seriolina nigrofasciata",19.803,3.37,4.294,FALSE,"Acanthopterygii","True"
"253","Trachinotus baillonii",33.578,4.403,5.566,FALSE,"Acanthopterygii","True"
"254","Trachinotus blochii",30.282,4.788,7.254,FALSE,"Acanthopterygii","True"
"255","Trachinotus botla",37.5,4.704,5.922,FALSE,"Acanthopterygii","True"
